CST-IBS/CBS	cClassTrib	Nome cClassTrib	LC 214/25	Tipo de Alíquota	pRedIBS	pRedCBS	ANEXO
000	000001	Situações tributadas integralmente pelo IBS e CBS.		Padrão	0	0	
000	000002	Exploração de via	Art. 11, VIII	Padrão	0	0	90111
000	000003	Regime automotivo - projetos incentivados (art. 311)	Art. 311	Padrão	0	0	
000	000004	Regime automotivo - projetos incentivados (art. 312)	Art. 312	Padrão	0	0	
000	000005	Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa	Art. 179, I	Padrão	0	0	
010	010001	Operações do FGTS não realizadas pela Caixa Econômica Federal	Art. 212	Uniforme setorial	0	0	
010	010002	Operações do serviço financeiro	Art. 233	Uniforme setorial	0	0	
011	011001	Planos de assistência funerária.	Art. 236	Uniforme nacional (referência)	60	60	
011	011002	Planos de assistência à saúde	Art. 237	Uniforme nacional (referência)	60	60	
011	011003	Intermediação de planos de assistência à saúde	Art. 240	Uniforme nacional (referência)	60	60	92401
011	011004	Concursos e prognósticos	Art. 246	Uniforme nacional (referência)	0	0	
011	011005	Planos de assistência à saúde de animais domésticos	Art. 243	Uniforme nacional (referência)	30	30	
200	200001	Serviços de transporte de bens até as zonas de processamento de exportação e bens exportados a partir das zonas de processamento de exportação	Art. 103	Padrão	100	100	
200	200002	Fornecimento ou importação para produtor rural não contribuinte ou TAC	Art. 110	Padrão	100	100	
200	200003	Vendas de produtos destinados à alimentação humana (Anexo I)	Art. 125	Padrão	100	100	1
200	200004	Fornecimento de dispositivos médicos (Anexo XII)	Art. 144, I	Padrão	100	100	12
200	200005	Fornecimento de dispositivos médicos para órgãos da administração pública e entidades de saúde imunes (Anexo IV)	Art. 144, II	Padrão	100	100	4
200	200006	Situação de emergência de saúde pública reconhecida pelo Poder público	Art. 144, § 3º	Padrão	100	100	
200	200007	Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII)	Art. 145, I	Padrão	100	100	13
200	200008	Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V)	Art. 145, II	Padrão	100	100	5
200	200009	Fornecimento dos medicamentos registrados na Anvisa	Art. 146	Padrão	100	100	
200	200010	Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública	Art. 146, § 1º, I e II	Padrão	100	100	
200	200011	Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI)	Art. 146, § 2º	Padrão	100	100	6
200	200012	Situação de emergência de saúde pública reconhecida pelo Poder público	Art. 146, § 4º	Padrão	100	100	
200	200013	Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos	Art. 147	Padrão	100	100	91471
200	200014	Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV)	Art. 148	Padrão	100	100	15
200	200015	Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência	Art. 149	Padrão	100	100	
